country,equal,entropy,ahp
Pakistan,0.6428571428571429,0.5459901957299211,0.7665516676595673
Egypt,0.5714285714285715,0.4494511727407486,0.5642858598413485
Sri Lanka,0.5714285714285715,0.5234382161130615,0.6186123393520654
Bangladesh,0.42857142857142866,0.2796444629325014,0.519367608624805
Nepal,0.3571428571428572,0.3235527117302239,0.43008225822817603
Jordan,0.6428571428571429,0.7265529782692319,0.5699177417718239
Ethiopia,0.5714285714285715,0.3527452698086121,0.7022658078182189
Zambia,0.5,0.28162757571349306,0.6673069369323069
India,0.42857142857142866,0.3673667661259785,0.46504112911408796
Morocco,0.5000000000000001,0.37562197347417353,0.4706730110445634
Philippines,0.6428571428571428,0.6435823351582597,0.5992447307272604
Kenya,0.5000000000000001,0.30648739216004617,0.5836534684661534
Tunisia,0.7142857142857143,0.5167034432495649,0.7178570700793259
Ghana,0.5,0.29176509386699917,0.5293269889554365
Nigeria,0.3571428571428572,0.2699415066406039,0.29210231025130573
Angola,0.4285714285714286,0.2544908159570926,0.3270611811372177
Bolivia,0.42857142857142866,0.3205911358755359,0.5193676086248051
Vietnam,0.2142857142857143,0.1171078898250402,0.3015105385454792
